device,variant_id,channel_role,measurement_channel,temperature_K,observed_feature_count,predicted_feature_count,observed_switching_width_A,predicted_switching_width_A,feature_count_error,width_error_A
AS004,N0,secondary,R2_secondary_dVdI,0.8,2,0,2.35e-07,Inf,2,NaN
AS004,N0,secondary,R2_secondary_dVdI,0.8197,2,0,3.3e-07,Inf,2,NaN
AS004,N0,secondary,R2_secondary_dVdI,0.8382,2,0,2.7e-07,Inf,2,NaN
AS004,N0,secondary,R2_secondary_dVdI,0.8608,2,0,2e-07,Inf,2,NaN
AS004,N0,secondary,R2_secondary_dVdI,0.8805,2,0,1.4e-07,Inf,2,NaN
AS004,NI,secondary,R2_secondary_dVdI,0.06,2,1,5.00000000000001e-08,8.75e-08,1,3.75e-08
AS004,NI,secondary,R2_secondary_dVdI,0.0801,2,1,5.50000000000001e-08,8.75e-08,1,3.25e-08
AS004,NI,secondary,R2_secondary_dVdI,0.0999,2,1,5.50000000000001e-08,8.75e-08,1,3.25e-08
AS004,NI,secondary,R2_secondary_dVdI,0.1203,2,1,6.00000000000001e-08,8.75e-08,1,2.74999999999999e-08
AS004,NI,secondary,R2_secondary_dVdI,0.14,2,1,1.1e-07,8.75e-08,1,2.25000000000001e-08
AS004,NI,secondary,R2_secondary_dVdI,0.1601,2,1,2.6e-07,8.75e-08,1,1.725e-07
AS004,NI,secondary,R2_secondary_dVdI,0.1801,2,1,2.5e-07,8.75e-08,1,1.625e-07
AS004,NI,secondary,R2_secondary_dVdI,0.2001,2,1,1.7e-07,8.75e-08,1,8.25000000000002e-08
AS004,NI,secondary,R2_secondary_dVdI,0.2202,2,1,1.95e-07,8.75e-08,1,1.075e-07
AS004,NI,secondary,R2_secondary_dVdI,0.2397,2,1,3.35e-07,8.75e-08,1,2.475e-07
AS004,NI,secondary,R2_secondary_dVdI,0.2599,2,1,2.4e-07,8.75e-08,1,1.525e-07
AS004,NI,secondary,R2_secondary_dVdI,0.2796,2,1,3.35e-07,8.75e-08,1,2.475e-07
AS004,NI,secondary,R2_secondary_dVdI,0.2998,2,1,2.6e-07,8.75e-08,1,1.725e-07
AS004,NI,secondary,R2_secondary_dVdI,0.3198,2,1,2.15e-07,8.75e-08,1,1.275e-07
AS004,NI,secondary,R2_secondary_dVdI,0.3401,2,1,2.05e-07,8.75e-08,1,1.175e-07
AS004,NI,secondary,R2_secondary_dVdI,0.3599,2,1,2.25e-07,8.75e-08,1,1.375e-07
AS004,NI,secondary,R2_secondary_dVdI,0.3801,2,1,1.9e-07,8.75e-08,1,1.025e-07
AS004,NI,secondary,R2_secondary_dVdI,0.4001,2,1,3.1e-07,8.75e-08,1,2.225e-07
AS004,NI,secondary,R2_secondary_dVdI,0.4203,2,1,3.4e-07,8.75e-08,1,2.525e-07
AS004,NI,secondary,R2_secondary_dVdI,0.4402,2,1,2e-07,8.75e-08,1,1.125e-07
AS004,NI,secondary,R2_secondary_dVdI,0.4604,2,1,2.1e-07,8.75e-08,1,1.225e-07
AS004,NI,secondary,R2_secondary_dVdI,0.4795,2,1,1.25e-07,8.75e-08,1,3.75000000000001e-08
AS004,NI,secondary,R2_secondary_dVdI,0.4997,2,1,2.6e-07,8.75e-08,1,1.725e-07
AS004,NI,secondary,R2_secondary_dVdI,0.5194,2,1,3.3e-07,8.75e-08,1,2.425e-07
AS004,NI,secondary,R2_secondary_dVdI,0.5408,2,1,2.8e-07,8.75e-08,1,1.925e-07
AS004,NI,secondary,R2_secondary_dVdI,0.5608,2,1,1.9e-07,8.75e-08,1,1.025e-07
AS004,NI,secondary,R2_secondary_dVdI,0.5801,2,1,2.3e-07,8.75e-08,1,1.425e-07
AS004,NI,secondary,R2_secondary_dVdI,0.6001,2,1,1.3e-07,8.75e-08,1,4.25000000000001e-08
AS004,NI,secondary,R2_secondary_dVdI,0.6197,2,1,1.2e-07,8.75e-08,1,3.25000000000001e-08
AS004,NI,secondary,R2_secondary_dVdI,0.6394,2,1,2.35e-07,8.75e-08,1,1.475e-07
AS004,NI,secondary,R2_secondary_dVdI,0.6599,2,1,2e-07,8.75e-08,1,1.125e-07
AS004,NI,secondary,R2_secondary_dVdI,0.6795,2,1,2.95e-07,8.75e-08,1,2.075e-07
AS004,NI,secondary,R2_secondary_dVdI,0.6995,2,1,2.9e-07,8.75e-08,1,2.025e-07
AS004,NI,secondary,R2_secondary_dVdI,0.719,2,1,3.05e-07,8.75e-08,1,2.175e-07
AS004,NI,secondary,R2_secondary_dVdI,0.7407,2,1,3e-07,8.75e-08,1,2.125e-07
AS004,NI,secondary,R2_secondary_dVdI,0.7601,2,1,3.05e-07,8.75e-08,1,2.175e-07
AS004,NI,secondary,R2_secondary_dVdI,0.78,2,1,3.95e-07,8.75e-08,1,3.075e-07
AS004,NI,secondary,R2_secondary_dVdI,0.8,2,1,2.35e-07,8.75e-08,1,1.475e-07
AS004,NI,secondary,R2_secondary_dVdI,0.8197,2,1,3.3e-07,8.75e-08,1,2.425e-07
AS004,NI,secondary,R2_secondary_dVdI,0.8382,2,1,2.7e-07,8.75e-08,1,1.825e-07
AS004,NI,secondary,R2_secondary_dVdI,0.8608,2,1,2e-07,8.75e-08,1,1.125e-07
AS004,NI,secondary,R2_secondary_dVdI,0.8805,2,1,1.4e-07,8.75e-08,1,5.25000000000001e-08
