device,variant_id,channel_role,measurement_channel,temperature_K,observed_positive_Ic_A,observed_negative_Ic_abs_A,predicted_Ic_abs_A,positive_switch_error_A,negative_switch_error_A,switching_status
AS004,N0,primary,R1_primary_dVdI,0.8197,2.455e-06,2.005e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,primary,R1_primary_dVdI,0.8382,6.25e-07,1.905e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,primary,R1_primary_dVdI,0.8608,1.775e-06,1.95e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,primary,R1_primary_dVdI,0.8805,1.5e-08,1.15e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,NI,primary,R1_primary_dVdI,0.06,4.65e-07,4.55e-07,8.75e-07,4.1e-07,4.2e-07,both_have_switching
AS004,NI,primary,R1_primary_dVdI,0.0801,4.55e-07,4.45e-07,8.74474898816546e-07,4.19474898816546e-07,4.29474898816546e-07,both_have_switching
AS004,NI,primary,R1_primary_dVdI,0.0999,4.35e-07,4.15e-07,8.7293082761548e-07,4.37930827615479e-07,4.5793082761548e-07,both_have_switching
AS004,NI,primary,R1_primary_dVdI,0.1203,3.85e-07,3.75e-07,8.70274089348917e-07,4.85274089348917e-07,4.95274089348917e-07,both_have_switching
AS004,NI,primary,R1_primary_dVdI,0.14,3.35e-07,3.15e-07,8.66681771307384e-07,5.31681771307384e-07,5.51681771307384e-07,both_have_switching
AS004,NI,primary,R1_primary_dVdI,0.1601,2.05e-07,2.15e-07,8.61976760205891e-07,6.56976760205891e-07,6.46976760205891e-07,both_have_switching
AS004,NI,primary,R1_primary_dVdI,0.1801,1.25e-07,1.05e-07,8.56252779086785e-07,7.31252779086785e-07,7.51252779086785e-07,both_have_switching
AS004,NI,primary,R1_primary_dVdI,0.2001,6.5e-08,3.5e-08,8.49489019381101e-07,7.84489019381101e-07,8.14489019381101e-07,both_have_switching
AS004,NI,primary,R1_primary_dVdI,0.2202,1.95e-07,6.25e-07,8.41643850953681e-07,6.46643850953681e-07,2.16643850953681e-07,both_have_switching
AS004,NI,primary,R1_primary_dVdI,0.2397,4.95e-07,5.85e-07,8.33029220377729e-07,3.38029220377729e-07,2.48029220377729e-07,both_have_switching
AS004,NI,primary,R1_primary_dVdI,0.2599,4.25e-07,5.25e-07,8.23063046603248e-07,3.98063046603248e-07,2.98063046603247e-07,both_have_switching
AS004,NI,primary,R1_primary_dVdI,0.2796,3.25e-07,4.25e-07,8.12321938845422e-07,4.87321938845422e-07,3.87321938845422e-07,both_have_switching
AS004,NI,primary,R1_primary_dVdI,0.2998,3.55e-07,3.35e-07,8.00260663207917e-07,4.45260663207917e-07,4.65260663207918e-07,both_have_switching
AS004,NI,primary,R1_primary_dVdI,0.3198,2.65e-07,2.175e-06,7.87273828661571e-07,5.22273828661571e-07,1.38772617133843e-06,both_have_switching
AS004,NI,primary,R1_primary_dVdI,0.3401,6.75e-07,1.185e-06,7.73028901017163e-07,9.80289010171634e-08,4.11971098982837e-07,both_have_switching
AS004,NI,primary,R1_primary_dVdI,0.3599,8.95e-07,1.485e-06,7.58102879406851e-07,1.36897120593149e-07,7.26897120593149e-07,both_have_switching
AS004,NI,primary,R1_primary_dVdI,0.3801,4.85e-07,1.965e-06,7.41825145633988e-07,2.56825145633988e-07,1.22317485436601e-06,both_have_switching
AS004,NI,primary,R1_primary_dVdI,0.4001,1.575e-06,2.305e-06,7.24663600062535e-07,8.50336399937465e-07,1.58033639993746e-06,both_have_switching
AS004,NI,primary,R1_primary_dVdI,0.4203,8.15e-07,1.515e-06,7.06275011781063e-07,1.08724988218937e-07,8.08724988218937e-07,both_have_switching
AS004,NI,primary,R1_primary_dVdI,0.4402,6.05e-07,9.75e-07,6.87122355202476e-07,8.21223552024766e-08,2.87877644797523e-07,both_have_switching
AS004,NI,primary,R1_primary_dVdI,0.4604,2.045e-06,2.285e-06,6.66628163294256e-07,1.37837183670574e-06,1.61837183670574e-06,both_have_switching
AS004,NI,primary,R1_primary_dVdI,0.4795,1.65e-07,1.5e-08,6.46274380486921e-07,4.81274380486921e-07,6.31274380486921e-07,both_have_switching
AS004,NI,primary,R1_primary_dVdI,0.4997,2.305e-06,2.225e-06,6.23716592006851e-07,1.68128340799315e-06,1.60128340799315e-06,both_have_switching
AS004,NI,primary,R1_primary_dVdI,0.5194,1.255e-06,4.45e-07,6.00695543174763e-07,6.54304456825237e-07,1.55695543174764e-07,both_have_switching
AS004,NI,primary,R1_primary_dVdI,0.5408,4.05e-07,6.15e-07,5.74544747799847e-07,1.69544747799847e-07,4.0455252200153e-08,both_have_switching
AS004,NI,primary,R1_primary_dVdI,0.5608,9.25e-07,5.05e-07,5.49028581285248e-07,3.75971418714752e-07,4.4028581285248e-08,both_have_switching
AS004,NI,primary,R1_primary_dVdI,0.5801,1.845e-06,3.55e-07,5.23419653523494e-07,1.32158034647651e-06,1.68419653523494e-07,both_have_switching
AS004,NI,primary,R1_primary_dVdI,0.6001,2.175e-06,4.35e-07,4.95860322086271e-07,1.67913967791373e-06,6.08603220862712e-08,both_have_switching
AS004,NI,primary,R1_primary_dVdI,0.6197,2.215e-06,6.15e-07,4.67843384093096e-07,1.7471566159069e-06,1.47156615906904e-07,both_have_switching
AS004,NI,primary,R1_primary_dVdI,0.6394,1.965e-06,2.275e-06,4.38677243814339e-07,1.52632275618566e-06,1.83632275618566e-06,both_have_switching
AS004,NI,primary,R1_primary_dVdI,0.6599,2.05e-07,1.315e-06,4.07255589831114e-07,2.02255589831114e-07,9.07744410168886e-07,both_have_switching
AS004,NI,primary,R1_primary_dVdI,0.6795,1.545e-06,8.55e-07,3.76191892623551e-07,1.16880810737645e-06,4.78808107376449e-07,both_have_switching
AS004,NI,primary,R1_primary_dVdI,0.6995,1.755e-06,7.5e-08,3.4346486161104e-07,1.41153513838896e-06,2.6846486161104e-07,both_have_switching
AS004,NI,primary,R1_primary_dVdI,0.719,1.435e-06,1.155e-06,3.10554894553454e-07,1.12444510544655e-06,8.44445105446546e-07,both_have_switching
AS004,NI,primary,R1_primary_dVdI,0.7407,9.15e-07,1.25e-07,2.72770003576096e-07,6.42229996423904e-07,1.47770003576096e-07,both_have_switching
AS004,NI,primary,R1_primary_dVdI,0.7601,8.55e-07,1.45e-07,2.37953641471718e-07,6.17046358528282e-07,9.29536414717176e-08,both_have_switching
AS004,NI,primary,R1_primary_dVdI,0.78,2.075e-06,4.45e-07,2.01223475898118e-07,1.87377652410188e-06,2.43776524101882e-07,both_have_switching
AS004,NI,primary,R1_primary_dVdI,0.8,1.805e-06,1.925e-06,1.63271557488058e-07,1.64172844251194e-06,1.76172844251194e-06,both_have_switching
AS004,NI,primary,R1_primary_dVdI,0.8197,2.455e-06,2.005e-06,1.24872417310679e-07,2.33012758268932e-06,1.88012758268932e-06,both_have_switching
AS004,NI,primary,R1_primary_dVdI,0.8382,6.25e-07,1.905e-06,8.78937966438175e-08,5.37106203356182e-07,1.81710620335618e-06,both_have_switching
AS004,NI,primary,R1_primary_dVdI,0.8608,1.775e-06,1.95e-07,4.375e-08,1.73125e-06,1.5125e-07,both_have_switching
AS004,NI,primary,R1_primary_dVdI,0.8805,1.5e-08,1.15e-07,4.375e-08,2.875e-08,7.125e-08,both_have_switching
AS004,N0,secondary,R2_secondary_dVdI,0.06,4.65e-07,4.45e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,secondary,R2_secondary_dVdI,0.0801,4.55e-07,4.35e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,secondary,R2_secondary_dVdI,0.0999,4.35e-07,4.15e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,secondary,R2_secondary_dVdI,0.1203,3.85e-07,3.85e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,secondary,R2_secondary_dVdI,0.14,3.45e-07,3.15e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,secondary,R2_secondary_dVdI,0.1601,2.25e-07,2.85e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,secondary,R2_secondary_dVdI,0.1801,1.25e-07,2.65e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,secondary,R2_secondary_dVdI,0.2001,7.5e-08,2.5e-08,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,secondary,R2_secondary_dVdI,0.2202,3.5e-08,6.25e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,secondary,R2_secondary_dVdI,0.2397,1.505e-06,5.85e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,secondary,R2_secondary_dVdI,0.2599,4.5e-08,5.15e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,secondary,R2_secondary_dVdI,0.2796,1.005e-06,4.65e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,secondary,R2_secondary_dVdI,0.2998,2.205e-06,3.75e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,secondary,R2_secondary_dVdI,0.3198,1.145e-06,2.35e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,secondary,R2_secondary_dVdI,0.3401,1.035e-06,7.55e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,secondary,R2_secondary_dVdI,0.3599,2.75e-07,1.675e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,secondary,R2_secondary_dVdI,0.3801,9.5e-08,1.975e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,secondary,R2_secondary_dVdI,0.4001,1.175e-06,3.45e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,secondary,R2_secondary_dVdI,0.4203,8.75e-07,2.455e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,secondary,R2_secondary_dVdI,0.4402,3.5e-08,6.45e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,secondary,R2_secondary_dVdI,0.4604,1.185e-06,7.25e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,secondary,R2_secondary_dVdI,0.4795,8.25e-07,1.365e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,secondary,R2_secondary_dVdI,0.4997,1.565e-06,7.85e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,secondary,R2_secondary_dVdI,0.5194,1.375e-06,1.145e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,secondary,R2_secondary_dVdI,0.5408,2.065e-06,2.475e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,secondary,R2_secondary_dVdI,0.5608,2.75e-07,5.95e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,secondary,R2_secondary_dVdI,0.5801,1.895e-06,1.825e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,secondary,R2_secondary_dVdI,0.6001,1.505e-06,9.45e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,secondary,R2_secondary_dVdI,0.6197,2.485e-06,2.35e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,secondary,R2_secondary_dVdI,0.6394,1.355e-06,5e-09,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,secondary,R2_secondary_dVdI,0.6599,2.135e-06,2.35e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,secondary,R2_secondary_dVdI,0.6795,1.755e-06,1.35e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,secondary,R2_secondary_dVdI,0.6995,2.305e-06,8.35e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,secondary,R2_secondary_dVdI,0.719,2.305e-06,2.005e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,secondary,R2_secondary_dVdI,0.7407,8.55e-07,2.045e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,secondary,R2_secondary_dVdI,0.7601,2.425e-06,3.05e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,secondary,R2_secondary_dVdI,0.78,2.115e-06,1.105e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,secondary,R2_secondary_dVdI,0.8,1.915e-06,2.85e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,secondary,R2_secondary_dVdI,0.8197,2.105e-06,1.625e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,secondary,R2_secondary_dVdI,0.8382,9.85e-07,1.65e-07,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,secondary,R2_secondary_dVdI,0.8608,4.95e-07,1.015e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,N0,secondary,R2_secondary_dVdI,0.8805,6.95e-07,1.325e-06,NaN,NaN,NaN,observed_switch_predicted_no_switch
AS004,NI,secondary,R2_secondary_dVdI,0.06,4.65e-07,4.45e-07,8.75e-07,4.1e-07,4.3e-07,both_have_switching
AS004,NI,secondary,R2_secondary_dVdI,0.0801,4.55e-07,4.35e-07,8.74474898816546e-07,4.19474898816546e-07,4.39474898816546e-07,both_have_switching
AS004,NI,secondary,R2_secondary_dVdI,0.0999,4.35e-07,4.15e-07,8.7293082761548e-07,4.37930827615479e-07,4.5793082761548e-07,both_have_switching
AS004,NI,secondary,R2_secondary_dVdI,0.1203,3.85e-07,3.85e-07,8.70274089348917e-07,4.85274089348917e-07,4.85274089348917e-07,both_have_switching
AS004,NI,secondary,R2_secondary_dVdI,0.14,3.45e-07,3.15e-07,8.66681771307384e-07,5.21681771307384e-07,5.51681771307384e-07,both_have_switching
AS004,NI,secondary,R2_secondary_dVdI,0.1601,2.25e-07,2.85e-07,8.61976760205891e-07,6.36976760205891e-07,5.76976760205891e-07,both_have_switching
AS004,NI,secondary,R2_secondary_dVdI,0.1801,1.25e-07,2.65e-07,8.56252779086785e-07,7.31252779086785e-07,5.91252779086785e-07,both_have_switching
AS004,NI,secondary,R2_secondary_dVdI,0.2001,7.5e-08,2.5e-08,8.49489019381101e-07,7.74489019381101e-07,8.24489019381101e-07,both_have_switching
AS004,NI,secondary,R2_secondary_dVdI,0.2202,3.5e-08,6.25e-07,8.41643850953681e-07,8.06643850953681e-07,2.16643850953681e-07,both_have_switching
AS004,NI,secondary,R2_secondary_dVdI,0.2397,1.505e-06,5.85e-07,8.33029220377729e-07,6.71970779622271e-07,2.48029220377729e-07,both_have_switching
AS004,NI,secondary,R2_secondary_dVdI,0.2599,4.5e-08,5.15e-07,8.23063046603248e-07,7.78063046603248e-07,3.08063046603248e-07,both_have_switching
AS004,NI,secondary,R2_secondary_dVdI,0.2796,1.005e-06,4.65e-07,8.12321938845422e-07,1.92678061154578e-07,3.47321938845422e-07,both_have_switching
AS004,NI,secondary,R2_secondary_dVdI,0.2998,2.205e-06,3.75e-07,8.00260663207917e-07,1.40473933679208e-06,4.25260663207917e-07,both_have_switching
AS004,NI,secondary,R2_secondary_dVdI,0.3198,1.145e-06,2.35e-07,7.87273828661571e-07,3.57726171338429e-07,5.52273828661571e-07,both_have_switching
AS004,NI,secondary,R2_secondary_dVdI,0.3401,1.035e-06,7.55e-07,7.73028901017163e-07,2.61971098982837e-07,1.80289010171634e-08,both_have_switching
AS004,NI,secondary,R2_secondary_dVdI,0.3599,2.75e-07,1.675e-06,7.58102879406851e-07,4.83102879406851e-07,9.16897120593149e-07,both_have_switching
AS004,NI,secondary,R2_secondary_dVdI,0.3801,9.5e-08,1.975e-06,7.41825145633988e-07,6.46825145633988e-07,1.23317485436601e-06,both_have_switching
AS004,NI,secondary,R2_secondary_dVdI,0.4001,1.175e-06,3.45e-07,7.24663600062535e-07,4.50336399937465e-07,3.79663600062535e-07,both_have_switching
AS004,NI,secondary,R2_secondary_dVdI,0.4203,8.75e-07,2.455e-06,7.06275011781063e-07,1.68724988218937e-07,1.74872498821894e-06,both_have_switching
AS004,NI,secondary,R2_secondary_dVdI,0.4402,3.5e-08,6.45e-07,6.87122355202476e-07,6.52122355202477e-07,4.21223552024765e-08,both_have_switching
AS004,NI,secondary,R2_secondary_dVdI,0.4604,1.185e-06,7.25e-07,6.66628163294256e-07,5.18371836705744e-07,5.83718367057439e-08,both_have_switching
AS004,NI,secondary,R2_secondary_dVdI,0.4795,8.25e-07,1.365e-06,6.46274380486921e-07,1.78725619513079e-07,7.18725619513079e-07,both_have_switching
AS004,NI,secondary,R2_secondary_dVdI,0.4997,1.565e-06,7.85e-07,6.23716592006851e-07,9.41283407993149e-07,1.61283407993149e-07,both_have_switching
AS004,NI,secondary,R2_secondary_dVdI,0.5194,1.375e-06,1.145e-06,6.00695543174763e-07,7.74304456825236e-07,5.44304456825237e-07,both_have_switching
AS004,NI,secondary,R2_secondary_dVdI,0.5408,2.065e-06,2.475e-06,5.74544747799847e-07,1.49045525220015e-06,1.90045525220015e-06,both_have_switching
AS004,NI,secondary,R2_secondary_dVdI,0.5608,2.75e-07,5.95e-07,5.49028581285248e-07,2.74028581285248e-07,4.5971418714752e-08,both_have_switching
AS004,NI,secondary,R2_secondary_dVdI,0.5801,1.895e-06,1.825e-06,5.23419653523494e-07,1.37158034647651e-06,1.30158034647651e-06,both_have_switching
AS004,NI,secondary,R2_secondary_dVdI,0.6001,1.505e-06,9.45e-07,4.95860322086271e-07,1.00913967791373e-06,4.49139677913729e-07,both_have_switching
AS004,NI,secondary,R2_secondary_dVdI,0.6197,2.485e-06,2.35e-07,4.67843384093096e-07,2.0171566159069e-06,2.32843384093096e-07,both_have_switching
AS004,NI,secondary,R2_secondary_dVdI,0.6394,1.355e-06,5e-09,4.38677243814339e-07,9.16322756185661e-07,4.33677243814339e-07,both_have_switching
AS004,NI,secondary,R2_secondary_dVdI,0.6599,2.135e-06,2.35e-07,4.07255589831114e-07,1.72774441016889e-06,1.72255589831114e-07,both_have_switching
AS004,NI,secondary,R2_secondary_dVdI,0.6795,1.755e-06,1.35e-07,3.76191892623551e-07,1.37880810737645e-06,2.41191892623551e-07,both_have_switching
AS004,NI,secondary,R2_secondary_dVdI,0.6995,2.305e-06,8.35e-07,3.4346486161104e-07,1.96153513838896e-06,4.9153513838896e-07,both_have_switching
AS004,NI,secondary,R2_secondary_dVdI,0.719,2.305e-06,2.005e-06,3.10554894553454e-07,1.99444510544655e-06,1.69444510544655e-06,both_have_switching
AS004,NI,secondary,R2_secondary_dVdI,0.7407,8.55e-07,2.045e-06,2.72770003576096e-07,5.82229996423904e-07,1.7722299964239e-06,both_have_switching
AS004,NI,secondary,R2_secondary_dVdI,0.7601,2.425e-06,3.05e-07,2.37953641471718e-07,2.18704635852828e-06,6.70463585282824e-08,both_have_switching
AS004,NI,secondary,R2_secondary_dVdI,0.78,2.115e-06,1.105e-06,2.01223475898118e-07,1.91377652410188e-06,9.03776524101882e-07,both_have_switching
AS004,NI,secondary,R2_secondary_dVdI,0.8,1.915e-06,2.85e-07,1.63271557488058e-07,1.75172844251194e-06,1.21728442511942e-07,both_have_switching
AS004,NI,secondary,R2_secondary_dVdI,0.8197,2.105e-06,1.625e-06,1.24872417310679e-07,1.98012758268932e-06,1.50012758268932e-06,both_have_switching
AS004,NI,secondary,R2_secondary_dVdI,0.8382,9.85e-07,1.65e-07,8.78937966438175e-08,8.97106203356182e-07,7.71062033561825e-08,both_have_switching
AS004,NI,secondary,R2_secondary_dVdI,0.8608,4.95e-07,1.015e-06,4.375e-08,4.5125e-07,9.7125e-07,both_have_switching
AS004,NI,secondary,R2_secondary_dVdI,0.8805,6.95e-07,1.325e-06,4.375e-08,6.5125e-07,1.28125e-06,both_have_switching
